,monos,X1.21,yob,yob_order
1,BW,1,2009,12
2,DV,2,2011,9
3,EH,3,2013,2
4,EI,4,2004,17
5,EQ,5,2011,8
6,EV,6,2006,15
7,GW,7,2012,5
8,HE,8,1992,23
9,IE,9,2011,7
10,JU,10,2005,16
11,LD,11,2011,6
12,LN,12,2006,14
13,LT,13,2004,18
14,ME,14,1999,19
15,MI,15,1997,20
16,MX,16,2007,13
17,NP,17,1992,22
18,QJ,18,1996,21
19,RK,19,2009,10
20,RZ,20,2012,4
21,VA,21,2012,3
22,WP,22,2014,1
23,YJ,23,2009,11
